26.09.15 13:59
Projektstatistik

                     	Segmente	Wörter	Zeichen (ohne Leerzeichen)	Zeichen (mit Leerzeichen)	#Files	
Gesamt:              	    2327	  9128	                     66387	                    72089	    95	
Verbleibend:         	       5	    16	                       101	                      112	     1	
Einmalig:            	    1923	  8392	                     60719	                    66099	    94	
Verbleibend einmalig:	       5	    16	                       101	                      112	     1	


Statistik einzelner Dateien:

Dateiname                                                                                                                                	Segmente Gesamt	Verbleibende Segmente	Einmalige Segmente	Verbleibende einmalige Segmente	Wörter Gesamt	Verbleibende Wörter:	Einmalige Wörter	Verbleibende einmalige Wörter	Zeichen Gesamt (ohne Leerzeichen)	Verbleibende Zeichen (ohne Leerzeichen)	Einmalige Zeichen (ohne Leerzeichen)	Verbleibende einmalige Zeichen (ohne Leerzeichen)	Zeichen Gesamt (mit Leerzeichen)	Verbleibende Zeichen (mit Leerzeichen)	Einmalige Zeichen (mit Leerzeichen)	Verbleibende einmalige Zeichen (mit Leerzeichen)	
Modules/Xmp/src/org/jphototagger/xmpmodule/Bundle.properties                                                                             	             41	                    0	                23	                              0	          108	                   0	              85	                            0	                              795	                                      0	                                 636	                                                0	                             853	                                     0	                                689	                                               0	
Modules/Xmp/src/org/jphototagger/xmpmodule/comparators/Bundle.properties                                                                 	              6	                    0	                 6	                              0	           16	                   0	              16	                            0	                              137	                                      0	                                 137	                                                0	                             147	                                     0	                                147	                                               0	
Modules/Xmp/src/org/jphototagger/xmpmodule/XmpPropertyTranslations.properties                                                            	            281	                    0	               235	                              0	          470	                   0	             420	                            0	                             4525	                                      0	                                4111	                                                0	                            4705	                                     0	                               4289	                                               0	
Plugins/CopyFilenamesToClipboard/src/org/jphototagger/plugin/cftc/Bundle.properties                                                      	             10	                    0	                 9	                              0	           38	                   0	              37	                            0	                              268	                                      0	                                 262	                                                0	                             288	                                     0	                                282	                                               0	
Plugins/FlickrUpload/src/org/jphototagger/plugin/flickrupload/Bundle.properties                                                          	             27	                    0	                21	                              0	          137	                   0	             131	                            0	                              934	                                      0	                                 871	                                                0	                            1021	                                     0	                                958	                                               0	
Plugins/HtmlReports/src/org/jphototagger/plugin/htmlreports/Bundle.properties                                                            	             18	                    0	                16	                              0	           92	                   0	              90	                            0	                              625	                                      0	                                 606	                                                0	                             691	                                     0	                                672	                                               0	
Plugins/IrfanViewSlideshow/src/org/jphototagger/plugin/iviewsshow/Bundle.properties                                                      	              9	                    0	                 9	                              0	           68	                   0	              68	                            0	                              468	                                      0	                                 468	                                                0	                             514	                                     0	                                514	                                               0	
Program/src/org/jphototagger/program/app/Bundle.properties                                                                               	             21	                    0	                20	                              0	          196	                   0	             194	                            0	                             1382	                                      0	                                1364	                                                0	                            1506	                                     0	                               1487	                                               0	
Program/src/org/jphototagger/program/app/logging/Bundle.properties                                                                       	             17	                    0	                15	                              0	           59	                   0	              57	                            0	                              470	                                      0	                                 443	                                                0	                             513	                                     0	                                486	                                               0	
Program/src/org/jphototagger/program/app/ui/Bundle.properties                                                                            	             53	                    0	                41	                              0	          101	                   0	              84	                            0	                              901	                                      0	                                 756	                                                0	                             946	                                     0	                                796	                                               0	
Program/src/org/jphototagger/program/app/update/Bundle.properties                                                                        	             11	                    0	                11	                              0	          148	                   0	             148	                            0	                              973	                                      0	                                 973	                                                0	                            1066	                                     0	                               1066	                                               0	
Program/src/org/jphototagger/program/Bundle.properties                                                                                   	              2	                    0	                 1	                              0	           32	                   0	              31	                            0	                              184	                                      0	                                 178	                                                0	                             202	                                     0	                                196	                                               0	
Program/src/org/jphototagger/program/event/listener/Bundle.properties                                                                    	              2	                    0	                 2	                              0	            6	                   0	               6	                            0	                               44	                                      0	                                  44	                                                0	                              48	                                     0	                                 48	                                               0	
Program/src/org/jphototagger/program/factory/Bundle.properties                                                                           	             35	                    0	                35	                              0	          152	                   0	             152	                            0	                             1068	                                      0	                                1068	                                                0	                            1185	                                     0	                               1185	                                               0	
Program/src/org/jphototagger/program/filefilter/Bundle.properties                                                                        	             13	                    0	                11	                              0	           33	                   0	              29	                            0	                              254	                                      0	                                 213	                                                0	                             274	                                     0	                                231	                                               0	
Program/src/org/jphototagger/program/help/Bundle.properties                                                                              	             17	                    0	                16	                              0	          156	                   0	             155	                            0	                             1199	                                      0	                                1192	                                                0	                            1276	                                     0	                               1269	                                               0	
Program/src/org/jphototagger/program/misc/Bundle.properties                                                                              	             62	                    0	                57	                              0	          526	                   0	             513	                            0	                             3923	                                      0	                                3816	                                                0	                            4254	                                     0	                               4139	                                               0	
Program/src/org/jphototagger/program/module/actions/Bundle.properties                                                                    	             37	                    0	                26	                              0	          102	                   0	              87	                            0	                              710	                                      0	                                 599	                                                0	                             763	                                     0	                                648	                                               0	
Program/src/org/jphototagger/program/module/directories/Bundle.properties                                                                	              9	                    0	                 4	                              0	           22	                   0	              10	                            0	                              159	                                      0	                                  70	                                                0	                             172	                                     0	                                 76	                                               0	
Program/src/org/jphototagger/program/module/editmetadata/Bundle.properties                                                               	             55	                    0	                46	                              0	          230	                   0	             212	                            0	                             1569	                                      0	                                1421	                                                0	                            1732	                                     0	                               1575	                                               0	
Program/src/org/jphototagger/program/module/exportimport/Bundle.properties                                                               	             19	                    0	                17	                              0	           74	                   0	              71	                            0	                              551	                                      0	                                 529	                                                0	                             584	                                     0	                                561	                                               0	
Program/src/org/jphototagger/program/module/exportimport/exporter/Bundle.properties                                                      	              5	                    0	                 4	                              0	            6	                   0	               5	                            0	                               76	                                      0	                                  67	                                                0	                              77	                                     0	                                 68	                                               0	
Program/src/org/jphototagger/program/module/exportimport/importer/Bundle.properties                                                      	              5	                    0	                 3	                              0	            9	                   0	               7	                            0	                               99	                                      0	                                  65	                                                0	                             103	                                     0	                                 69	                                               0	
Program/src/org/jphototagger/program/module/favorites/Bundle.properties                                                                  	             31	                    0	                18	                              0	          121	                   0	              98	                            0	                              842	                                      0	                                 666	                                                0	                             908	                                     0	                                722	                                               0	
Program/src/org/jphototagger/program/module/fileexcludepatterns/Bundle.properties                                                        	             19	                    0	                17	                              0	           93	                   0	              91	                            0	                              702	                                      0	                                 683	                                                0	                             766	                                     0	                                747	                                               0	
Program/src/org/jphototagger/program/module/filesystem/Bundle.properties                                                                 	            102	                    0	                85	                              0	          455	                   0	             420	                            0	                             3203	                                      0	                                2955	                                                0	                            3494	                                     0	                               3228	                                               0	
Program/src/org/jphototagger/program/module/imagecollections/Bundle.properties                                                           	             24	                    0	                20	                              0	          131	                   0	             122	                            0	                              832	                                      0	                                 778	                                                0	                             929	                                     0	                                870	                                               0	
