02.02.13 22:19
Projektstatistik

                                 	Segmente	Wörter	Zeichen (ohne Leerzeichen)	Zeichen (mit Leerzeichen)	
Insgesamt:                       	    2454	  9643	                     55779	                    61929	
Verbleibend:                     	    2454	  9643	                     55779	                    61929	
Eindeutig:                       	    1972	  8645	                     49867	                    55533	
Verbleibende eindeutige Segmente:	    1972	  8645	                     49867	                    55533	


Statistik einzelner Dateien:

Dateiname                                                                                      	Segmente gesamt	Verbleibende Segmente	Eindeutige Segmente	Eindeutige verbleibende Segmente	Wörter gesamt:	Verbleibende Wörter:	Eindeutige Wörter	Eindeutige verbleibende Wörter	Zeichen gesamt (ohne Leerzeichen)	Verbleibende Zeichen (ohne Leerzeichen)	Eindeutige Zeichen (ohne Leerzeichen)	Eindeutige verbleibende Zeichen (ohne Leerzeichen)	Zeichen gesamt (mit Leerzeichen)	Verbleibende Zeichen (mit Leerzeichen)	Eindeutige Zeichen (mit Leerzeichen)	Eindeutige verbleibende Zeichen (mit Leerzeichen)	
Localization/src/org/jphototagger/program/module/exportimport/Bundle.properties                	             21	                   21	                 18	                              18	            70	                  70	               66	                            66	                              475	                                    475	                                  450	                                               450	                             502	                                   502	                                 476	                                              476	
Localization/src/org/jphototagger/program/module/exportimport/exporter/Bundle.properties       	              5	                    5	                  4	                               4	            10	                  10	                8	                             8	                               69	                                     69	                                   58	                                                58	                              74	                                    74	                                  62	                                               62	
Localization/src/org/jphototagger/program/module/exportimport/importer/Bundle.properties       	              5	                    5	                  3	                               3	            11	                  11	                8	                             8	                               82	                                     82	                                   55	                                                55	                              88	                                    88	                                  60	                                               60	
Localization/src/org/jphototagger/program/module/favorites/Bundle.properties                   	             30	                   30	                 17	                              17	           103	                 103	               80	                            80	                              599	                                    599	                                  466	                                               466	                             656	                                   656	                                 513	                                              513	
Localization/src/org/jphototagger/program/module/fileexcludepatterns/Bundle.properties         	             19	                   19	                 17	                              17	            90	                  90	               88	                            88	                              558	                                    558	                                  545	                                               545	                             620	                                   620	                                 607	                                              607	
Localization/src/org/jphototagger/program/module/filesystem/Bundle.properties                  	            101	                  101	                 82	                              82	           445	                 445	              403	                           403	                             2535	                                   2535	                                 2297	                                              2297	                            2819	                                  2819	                                2558	                                             2558	
Localization/src/org/jphototagger/program/module/imagecollections/Bundle.properties            	             24	                   24	                 20	                              20	           134	                 134	              126	                           126	                              722	                                    722	                                  684	                                               684	                             822	                                   822	                                 780	                                              780	
Localization/src/org/jphototagger/program/module/keywords/Bundle.properties                    	             13	                   13	                  8	                               8	            32	                  32	               23	                            23	                              192	                                    192	                                  137	                                               137	                             211	                                   211	                                 152	                                              152	
Localization/src/org/jphototagger/program/module/keywords/list/Bundle.properties               	             23	                   23	                 15	                              15	            91	                  91	               76	                            76	                              497	                                    497	                                  401	                                               401	                             560	                                   560	                                 457	                                              457	
Localization/src/org/jphototagger/program/module/keywords/tree/Bundle.properties               	             50	                   50	                 34	                              34	           309	                 309	              254	                           254	                             1625	                                   1625	                                 1344	                                              1344	                            1865	                                  1865	                                1549	                                             1549	
Localization/src/org/jphototagger/program/module/metadatatemplates/Bundle.properties           	             46	                   46	                 19	                              19	           130	                 130	               66	                            66	                              757	                                    757	                                  389	                                               389	                             841	                                   841	                                 436	                                              436	
Localization/src/org/jphototagger/program/module/miscmetadata/Bundle.properties                	             18	                   18	                 11	                              11	            69	                  69	               52	                            52	                              386	                                    386	                                  288	                                               288	                             428	                                   428	                                 320	                                              320	
Localization/src/org/jphototagger/program/module/programs/Bundle.properties                    	             73	                   73	                 50	                              50	           298	                 298	              266	                           266	                             1753	                                   1753	                                 1574	                                              1574	                            1958	                                  1958	                                1770	                                             1770	
Localization/src/org/jphototagger/program/module/search/Bundle.properties                      	             41	                   41	                 31	                              31	           181	                 181	              164	                           164	                             1027	                                   1027	                                  931	                                               931	                            1152	                                  1152	                                1049	                                             1049	
Localization/src/org/jphototagger/program/module/thumbnails/Bundle.properties                  	            100	                  100	                 88	                              88	           498	                 498	              484	                           484	                             2826	                                   2826	                                 2733	                                              2733	                            3167	                                  3167	                                3070	                                             3070	
Localization/src/org/jphototagger/program/module/thumbnails/cache/Bundle.properties            	              2	                    2	                  2	                               2	            14	                  14	               14	                            14	                              115	                                    115	                                  115	                                               115	                             115	                                   115	                                 115	                                              115	
Localization/src/org/jphototagger/program/module/thumbnails/info/Bundle.properties             	              6	                    6	                  5	                               5	            47	                  47	               46	                            46	                              271	                                    271	                                  267	                                               267	                             308	                                   308	                                 304	                                              304	
Localization/src/org/jphototagger/program/module/timeline/Bundle.properties                    	              2	                    2	                  2	                               2	             5	                   5	                5	                             5	                               25	                                     25	                                   25	                                                25	                              28	                                    28	                                  28	                                               28	
Localization/src/org/jphototagger/program/module/wordsets/Bundle.properties                    	             23	                   23	                 19	                              19	           106	                 106	              101	                           101	                              598	                                    598	                                  566	                                               566	                             673	                                   673	                                 640	                                              640	
Localization/src/org/jphototagger/program/plugins/Bundle.properties                            	              3	                    3	                  3	                               3	            17	                  17	               17	                            17	                              130	                                    130	                                  130	                                               130	                             137	                                   137	                                 137	                                              137	
Localization/src/org/jphototagger/program/settings/Bundle.properties                           	             27	                   27	                 22	                              22	            39	                  39	               34	                            34	                              249	                                    249	                                  207	                                               207	                             261	                                   261	                                 219	                                              219	
Localization/src/org/jphototagger/program/tasks/Bundle.properties                              	              7	                    7	                  6	                               6	            22	                  22	               18	                            18	                              129	                                    129	                                  107	                                               107	                             144	                                   144	                                 119	                                              119	
Localization/src/org/jphototagger/program/view/Bundle.properties                               	              1	                    1	                  1	                               1	             5	                   5	                5	                             5	                               26	                                     26	                                   26	                                                26	                              30	                                    30	                                  30	                                               30	
Localization/src/org/jphototagger/repository/hsqldb/Bundle.properties                          	             12	                   12	                 12	                              12	           114	                 114	              114	                           114	                              661	                                    661	                                  661	                                               661	                             739	                                   739	                                 739	                                              739	
Localization/src/org/jphototagger/repository/hsqldb/update/tables/v0/Bundle.properties         	              1	                    1	                  1	                               1	             6	                   6	                6	                             6	                               35	                                     35	                                   35	                                                35	                              40	                                    40	                                  40	                                               40	
Localization/src/org/jphototagger/repository/hsqldb/update/tables/v0/obsolete/Bundle.properties	              1	                    1	                  1	                               1	            29	                  29	               29	                            29	                              185	                                    185	                                  185	                                               185	                             205	                                   205	                                 205	                                              205	
Localization/src/org/jphototagger/repositoryfilebrowser/Bundle.properties                      	             24	                   24	                 20	                              20	            72	                  72	               63	                            63	                              378	                                    378	                                  325	                                               325	                             426	                                   426	                                 368	                                              368	
Localization/src/org/jphototagger/synonyms/Bundle.properties                                   	             28	                   28	                 26	                              26	           128	                 128	              125	                           125	                              664	                                    664	                                  647	                                               647	                             757	                                   757	                                 739	                                              739	
Localization/src/org/jphototagger/tcc/def/Bundle.properties                                    	             29	                   29	                 28	                              28	           178	                 178	              177	                           177	                             1004	                                   1004	                                  997	                                               997	                            1120	                                  1120	                                1113	                                             1113	
Localization/src/org/jphototagger/tcc/def/scripts/unix/Bundle.properties                       	             28	                   28	                 20	                              20	           129	                 129	              120	                           120	                              761	                                    761	                                  724	                                               724	                             849	                                   849	                                 811	                                              811	
Localization/src/org/jphototagger/tcc/def/scripts/windows/Bundle.properties                    	             25	                   25	                  3	                               3	           122	                 122	                7	                             7	                              715	                                    715	                                   52	                                                52	                             799	                                   799	                                  56	                                               56	
Localization/src/org/jphototagger/userdefinedfiletypes/Bundle.properties                       	             20	                   20	                 11	                              11	            85	                  85	               61	                            61	                              574	                                    574	                                  411	                                               411	                             623	                                   623	                                 451	                                              451	
Localization/src/org/jphototagger/userdefinedfilters/Bundle.properties                         	             24	                   24	                 11	                              11	            86	                  86	               59	                            59	                              553	                                    553	                                  403	                                               403	                             602	                                   602	                                 438	                                              438	
Localization/src/org/jphototagger/xmpmodule/Bundle.properties                                  	             41	                   41	                 21	                              21	           110	                 110	               84	                            84	                              642	                                    642	                                  482	                                               482	                             702	                                   702	                                 536	                                              536	
Localization/src/org/jphototagger/xmpmodule/comparators/Bundle.properties                      	              6	                    6	                  6	                               6	            18	                  18	               18	                            18	                              113	                                    113	                                  113	                                               113	                             125	                                   125	                                 125	                                              125	
Localization/src/org/jphototagger/xmpmodule/XmpPropertyExifTagIdTranslations.properties        	             84	                   84	                 83	                              83	            84	                  84	               83	                            83	                              335	                                    335	                                  333	                                               333	                             335	                                   335	                                 333	                                              333	
Localization/src/org/jphototagger/xmpmodule/XmpPropertyTranslations.properties                 	            299	                  299	                232	                             232	           644	                 644	              520	                           520	                             4134	                                   4134	                                 3334	                                              3334	                            4483	                                  4483	                                3629	                                             3629	
